,z,a,b,wolfram,stan_grad_reg_inc_beta,stan_inc_beta,stan_inc_beta_strict,inbeder,stan_grad_reg_inc_beta_abserr,stan_inc_beta_abserr,stan_inc_beta_strict_abserr,inbeder_abserr,stan_grad_reg_inc_beta_relerr,stan_inc_beta_relerr,stan_inc_beta_strict_relerr,inbeder_relerr,stan_grad_reg_inc_beta_abserr_log,stan_inc_beta_abserr_log,stan_inc_beta_strict_abserr_log,inbeder_abserr_log,stan_grad_reg_inc_beta_relerr_log,stan_inc_beta_relerr_log,stan_inc_beta_strict_relerr_log,inbeder_relerr_log
0,0.001,1.5,1.25,-0.000286656365704264005402068793415537584223784506320953369140625,-0.00028665636570426368014141704776420738198794424533843994140625,-0.0002866563657042595601731616028473581536673009395599365234375,-0.00028665636570426368014141704776420738198794424533843994140625,-0.0002866563657042642764526119147916460860869847238063812255859375,3.252606517456513302022358403E-19,4.445228907190568179430556484E-18,3.252606517456513302022358403E-19,2.710505431213761085018632002E-19,1.1346709533087E-15,1.55071696952183E-14,1.1346709533087E-15,9.45559127757E-16,-42.569660086608444,-39.95470030857225,-42.569660086608444,-42.7519816434024,-34.41243369498817,-31.79747391695201,-34.41243369498817,-34.59475525178239
1,0.001,1.5,12.5,-0.005385775007874273045960222816574969328939914703369140625,-0.00538577500787427998485412672380334697663784027099609375,-0.005385775007639949200910489679472448187880218029022216796875,-0.00538577500787427998485412672380334697663784027099609375,-0.005385775007874287791109768619435271830298006534576416015625,6.938893903907228377647697926E-18,2.343238450497331371025211411E-13,6.938893903907228377647697926E-18,1.474514954580286030250135809E-17,1.288374262527E-15,4.35079157051937612E-11,1.288374262527E-15,2.737795307870E-15,-39.50938929191688,-29.082072283129573,-39.50938929191688,-38.755617489540505,-34.28539523294158,-23.858078224154145,-34.28539523294158,-33.531623430565155
2,0.001,1.5,125.0,-0.08655056037794579826272212130788830108940601348876953125,-0.08655056037795559598091443831435753963887691497802734375,-0.0865505216245416597597994723400915972888469696044921875,-0.08655056037795126611111840020384988747537136077880859375,-0.08655056037795573475879251645892509259283542633056640625,9.797718192317006469238549471E-15,3.875340413850292264896779670E-8,5.467848396278895961586385965E-15,9.936496070395151036791503429E-15,1.13202250216899E-13,4.477545144627138779301E-7,6.3175193463822E-14,1.14805681523087E-13,-32.256626873863695,-17.06604723626997,-32.839891202059,-32.24256194439629,-29.809600351098016,-14.619020713504295,-30.39286467929332,-29.795535421630614
3,0.001,1.5,1250.0,-0.367005502166720287693379987103980965912342071533203125,-0.36700550216655047908176356941112317144870758056640625,-0.36317708145790128515528749630902893841266632080078125,-0.36700550212101046287926919831079430878162384033203125,-0.36700550216655070112636849444243125617504119873046875,1.698086116164176928577944636E-13,0.003828420708819002538092490795,4.570982481411078879318665713E-11,1.695865670114926615497097373E-13,4.626868278919655E-13,0.0104315076646449256206714590,1.245480641141616992E-10,4.620818107910934E-13,-29.404104406086145,-5.565302908395058,-23.808707856142867,-29.405412878631353,-28.401725967326087,-4.562924469635,-22.80632941738281,-28.40303443987129
4,0.001,1.5,12500.0,-0.0000393756276793055803864262998104095458984375,-0.0000393756212460058934170421818254936852099490351974964141845703125,1.8226240337764829657629661596729420125484466552734375,-0.000039375628107728299237035030078146746745915152132511138916015625,-0.0000393756371992461684538623656326450372944236733019351959228515625,6.433299686969384117984915861E-12,1.822663409404162271343352586,4.284227188506087302677372008E-13,9.519940588067436065822235491E-12,1.633827843803616625415E-7,46289.12646799758516656930170,1.0880403541497634759E-8,2.41772414794311351856E-7,-25.769533538704252,0.6002988431057652,-28.478666025879065,-25.377632507893967,-15.627170018820449,10.74266236298957,-18.33630250599526,-15.235268988010162
5,0.001,15.0,1.25,-1.5114009059208569356151145654687032269650487001176192150353604749617006827836638259232464154154430234396134830228419776432247090269811451435089111328125E-44,-1.5114009059208706262487258599804589439059670163909485135901316615293935052402163632606812932590136281182243595927992829697217302964418195188045501708984375E-44,-1.5114009059208701284075036310891223723808427139810092663699581638360228571508871800847745704283383334026385095357099264123945658866432495415210723876953125E-44,-1.5114009059208708751693369744261272296685291675959181372002184103760788292848809548486346546743512754760172846213439612483853125013411045074462890625E-44,-1.511400905920866394598336914404098085942410445906464912218656931135742996480918306265474149198273623035744634107539752232440832813153974711894989013671875E-44,1.369063361129451175571694092E-58,1.319279238906562041914541579E-58,1.393955422240895742400270348E-58,9.458983222348935394858977362E-59,9.058240972109E-15,8.728850391305E-15,9.222936262511E-15,6.258421035275E-15,-133.2358085656367,-133.27284983731704,-133.21779006013404,-133.60555559114277,-32.33510144689482,-32.372142718575176,-32.31708294139214,-32.704848472400954
6,0.001,15.0,12.5,-7.325816883562409572917805360468325796261518871751374347229657555964188041535182369787725340738097738746414933075357112102210521697998046875E-38,-7.32581688356233126926418937817400527273220779318070593325856072836561493789771673310879017090337106399289268665597774088382720947265625E-38,-7.3258168835615336160460212385358602063802922728074970229396543778948169221774001141393705741869553371703460697972332127392292022705078125E-38,-7.32581688356233126926418937817400527273220779318070593325856072836561493789771673310879017090337106399289268665597774088382720947265625E-38,-7.325816883562361546676920891327809208496874743561364386660718168370396537970870112624645103239465378230921288604804431088268756866455078125E-38,7.830365361598229432052352931E-52,8.759568717841219324655898812E-51,7.830365361598229432052352931E-52,4.802624088446914051658776464E-52,1.06887265762374E-14,1.195712212995092E-13,1.06887265762374E-14,6.5557523000923E-15,-117.67641566501406,-115.26169307208316,-117.67641566501406,-118.16526238206129,-32.16958679986583,-29.754864206934936,-32.16958679986583,-32.65843351691304
7,0.001,15.0,125.0,-2.0476143566006128992787276935144299034167406968978934399102639351566111647340306944897747598588466644287109375E-25,-2.04761435660083009022714134272976943950350090088445915428852690289007743018601104267872869968414306640625E-25,-2.04761435622486222702979677696573196684811612024555486240008468908448992229498486494776443578302860260009765625E-25,-2.0476143566008305494046221326858272397912107533241770522047600169867655195421463076854706741869449615478515625E-25,-2.047614356600580297677591606634326082989341173677922687857712834291756820448426879011094570159912109375E-25,2.171909484136492153395360868E-38,3.757506722489309165486979366E-35,2.176501258944391713973363745E-38,3.260160113608688010382042740E-39,1.06070241065424E-13,1.835065626677577894E-10,1.06294491046534E-13,1.59217486588691E-14,-86.72262680654075,-79.26672262306256,-86.72051487333759,-88.61904231799136,-29.874674868694616,-22.418770685216444,-29.87256293549148,-31.771090380145235
8,0.001,15.0,1250.0,-1.844511688592094036999590404897627314573238521688836044631898403167724609375E-11,-1.844511688592156075545531881973242670225143768902853480540215969085693359375E-11,-1.8445072046641512876049155063396347599413704898552168742753565311431884765625E-11,-1.8445116885921399196741929556514678380241267774408697732724249362945556640625E-11,-1.84451168859216803089032268745135604605389634258472142391838133335113525390625E-11,6.203854594147707561535565191E-25,4.483927942749394674898557993E-17,4.588267460255075384052345089E-25,7.399389073228255372873148066E-25,3.3634130011304E-14,0.0000024309566431492516204025,2.4875241987527E-14,4.0115707148899E-14,-55.739456517247405,-37.64344714567762,-56.041124831673926,-55.56322988572095,-31.02323506934504,-12.927225697775244,-31.32490338377156,-30.847008437818584
9,0.001,15.0,12500.0,-0.08973647451573120437107178304358967579901218414306640625,-0.08973647555683329779530055247960262931883335113525390625,-0.08799539914275415763977861161038163118064403533935546875,-0.08973647551458698023996163328774855472147464752197265625,-0.08973647555683157694961238348696497268974781036376953125,1.041102093424228769436012954E-9,0.001741075372977046731293171433,9.988557758688898502441588789E-10,1.041100372578540600443375297E-9,1.1601771732649458245E-8,0.0194020924308969643111654264,1.1130989725853181094E-8,1.1601752555991388540E-8,-20.68298597966874,-6.353252326211286,-20.72441071620174,-20.682987632577824,-18.272108014923752,-3.942374361466301,-18.313532751456755,-18.27210966783284
