,z,a,b,stan_grad_reg_inc_beta,stan_inc_beta,stan_inc_beta_strict,inbeder,stan_grad_reg_inc_beta_log,stan_inc_beta_log,stan_inc_beta_strict_log,inbeder_log
0,0.001,1.5,1.25,0.00013502992002031533,2.3284729977604e-05,3.0865890003042296e-05,6.044658999599051e-05,-8.910014174301983,-10.667712778006706,-10.385858867185295,-9.713750392817332
1,0.001,1.5,12.5,0.0001669461900019087,2.3060009989421816e-05,3.0649389991594944e-05,5.9734349997597745e-05,-8.697839013027538,-10.677410609930835,-10.392897798175055,-9.725603326187324
2,0.001,1.5,125.0,0.00022467508999397977,2.503449999494478e-05,3.437956998823211e-05,7.447842999681597e-05,-8.400855243868099,-10.595255684622884,-10.27804806570175,-9.505001004744814
3,0.001,1.5,1250.0,0.0003989390600327169,2.5383149986737407e-05,4.7659189986006825e-05,0.00012162637001893017,-7.826701884486669,-10.581424990426791,-9.95143508211568,-9.01455675323435
4,0.001,1.5,12500.0,0.0010567605499818456,1.7935420000867452e-05,0.00012114667002606438,0.0001548145099877729,-6.852547135144596,-10.928733029307892,-9.01850859745123,-8.77328286743024
5,0.001,15.0,1.25,0.0001431365700045717,2.8907239975524135e-05,3.1002659998193846e-05,5.4787320004834326e-05,-8.851711348463132,-10.451418476036102,-10.381437550766936,-9.81205177755745
6,0.001,15.0,12.5,0.00013723162999667692,2.418271000351524e-05,3.120243000012124e-05,4.87974199859309e-05,-8.893840329908219,-10.629872642816375,-10.375014581562416,-9.927833115643555
7,0.001,15.0,125.0,0.0001866923899797257,2.9424399981508033e-05,3.516392996971263e-05,5.129508997924859e-05,-8.586048268934398,-10.433686296478415,-10.25548971751092,-9.877915522273712
8,0.001,15.0,1250.0,0.00031117608999920777,2.7354830017429776e-05,4.809319998457795e-05,9.865893000096548e-05,-8.07515160023382,-10.506617444416621,-9.942369763308584,-9.223841807535093
9,0.001,15.0,12500.0,0.0008608250800170936,4.3452329991851e-05,8.139496003423119e-05,0.00022682351002003997,-7.0576192332736,-10.043846083022016,-9.416197202914043,-8.39133833178262
10,0.001,150.0,1.25,2.2762349981348962e-05,2.668748998985393e-05,4.314975998568116e-05,5.756089998612879e-05,-10.690402703537474,-10.531315642062943,-10.050833702775194,-9.762667040450093
11,0.001,150.0,12.5,2.357787001528777e-05,2.618946000438882e-05,3.172691001964267e-05,5.241388000285952e-05,-10.65520199707553,-10.55015351804634,-10.35834534067121,-9.856339116162507
12,0.001,150.0,125.0,2.3964100000739565e-05,2.7920089996769094e-05,3.417628002353013e-05,5.4838200012454765e-05,-10.638953680794385,-10.486164056695316,-10.283978721087719,-9.811123526338832
13,0.001,150.0,1250.0,2.5012160003825558e-05,2.765249002550263e-05,3.797328998189187e-05,5.646394998620963e-05,-10.59614845119726,-10.495794778878768,-10.178627540597919,-9.781908176795962
14,0.001,150.0,12500.0,2.9130160000931938e-05,3.1145219982136044e-05,4.916820998914773e-05,5.609014999208739e-05,-10.443736494356731,-10.376849776122537,-9.920263281735368,-9.788550340315185
15,0.001,1500.0,1.25,2.3384510022879112e-05,4.882948000158649e-05,5.482990000018617e-05,6.306219001999125e-05,-10.663436719630303,-9.92717632910599,-9.811274892365661,-9.671389175303696
16,0.001,1500.0,12.5,2.49334999898565e-05,2.9130559996701778e-05,3.810884001723025e-05,6.244975000299746e-05,-10.599298277589137,-10.44372276312341,-10.17506428129482,-9.681148324555265
17,0.001,1500.0,125.0,2.828698001394514e-05,3.137415002129273e-05,3.83464699916658e-05,5.9865510011150035e-05,-10.473108929358455,-10.369526251834106,-10.168848081541043,-9.723410011477375
18,0.001,1500.0,1250.0,2.8170569967187474e-05,2.7634560028673148e-05,3.432396002608584e-05,5.4591250009252687e-05,-10.477232743153683,-10.496443393606468,-10.279666904625431,-9.815636944296612
19,0.001,1500.0,12500.0,2.7100959996460006e-05,2.7916090002690906e-05,3.711187000590144e-05,5.740481003158493e-05,-10.515941406482426,-10.486307332760585,-10.20157369327206,-9.765382459689981
20,0.001,15000.0,1.25,2.2867350016895214e-05,2.772693002043525e-05,3.372324001247762e-05,5.554051997023635e-05,-10.685800428226283,-10.493106414150347,-10.297323343667273,-9.798397714043807
21,0.001,15000.0,12.5,2.3123029968701303e-05,3.134429000056116e-05,3.1959939988155384e-05,5.176015998586081e-05,-10.674681468737353,-10.370478444617513,-10.351027314785254,-9.868889816859467
22,0.001,15000.0,125.0,2.3602920009579975e-05,3.15111099916976e-05,3.255575997172855e-05,5.442543999379268e-05,-10.654140124367048,-10.365170376166928,-10.332556247308064,-9.818678866470412
23,0.001,15000.0,1250.0,2.597284998046234e-05,3.2733999978518115e-05,3.2824660011101514e-05,5.5054519980330954e-05,-10.558458797053053,-10.327096265536838,-10.324330495449724,-9.807186591348165
24,0.001,15000.0,12500.0,2.6170319979428315e-05,2.6615749993652572e-05,3.2080769997264725e-05,5.520058999536559e-05,-10.550884614541358,-10.534007412377104,-10.347253772845512,-9.804536916416504
25,0.25,1.5,1.25,0.000590920440008631,5.4315630004566627e-05,9.005965999676846e-05,0.00010187553998548537,-7.4338291688949,-9.820698527055953,-9.315038218394795,-9.191758685946272
26,0.25,1.5,12.5,0.0009677160900173476,7.852729002479464e-05,0.00011637034000159473,0.00016250787997705628,-6.94057180914384,-9.452064349961999,-9.058732866119634,-8.72478406520369
27,0.25,1.5,125.0,0.002655295770018711,0.0003129644400178222,0.0003773606200047652,8.670507999340771e-05,-5.93119922935589,-8.069420984044948,-7.882309275983562,-9.352998083121399
28,0.25,1.5,1250.0,0.013184771090018331,0.00020329543000116245,0.00035432685999694515,5.269711000437383e-05,-4.328692820721733,-8.500850316671848,-7.945290737515798,-9.850949942547333
29,0.25,1.5,12500.0,2.0847980013058988e-05,0.00021466547997988527,0.000362917619968357,5.335734000254888e-05,-10.77825349628049,-8.446429648587323,-7.921334691690641,-9.838499007626655
30,0.25,15.0,1.25,0.0005574113900001976,5.514307998964796e-05,8.78353000007337e-05,9.956852001778315e-05,-7.492207008966253,-9.805579296299877,-9.340047088001445,-9.214664507410982
31,0.25,15.0,12.5,0.0007010659300067346,7.244792999699712e-05,0.00010328287000447744,0.0001284166500045103,-7.262908623987422,-9.532642461075774,-9.17803902323261,-8.960230502182897
32,0.25,15.0,125.0,0.002390281070001947,0.0002368524499979685,0.000297617350006476,0.00016637771997920936,-6.036344317442076,-8.348073184556949,-8.119701956951758,-8.701249932897529
33,0.25,15.0,1250.0,0.0129444757100282,0.00019918676000088453,0.0003427790699788602,5.351183001039317e-05,-4.347086167948532,-8.521267680881742,-7.97842442917565,-9.835607806816519
34,0.25,15.0,12500.0,2.511304999643471e-05,0.00019697741998243146,0.0003577272199981962,5.576343999564415e-05,-10.592122926761519,-8.53242145517411,-7.935739817311366,-9.794392100523181
35,0.25,150.0,1.25,0.0005178596499899868,6.438205997255864e-05,8.933110002544709e-05,5.721224999433616e-05,-7.565806298382557,-9.650675535516992,-9.32316086614917,-9.768742521767518
36,0.25,150.0,12.5,0.0005346490499869105,5.804520998935914e-05,0.00010044716000265908,4.9043180006265174e-05,-7.533900007651038,-9.754288368481463,-9.205878739849064,-9.922809423286449
37,0.25,150.0,125.0,0.0008580576200256473,7.474422000086633e-05,0.0001374359200053732,5.237751996901352e-05,-7.060839304524141,-9.50143867308629,-8.892352785810886,-9.857033066912567
38,0.25,150.0,1250.0,0.009713854670008005,0.0002866446299958625,0.0004944545100079267,5.467020000651246e-05,-4.634202096050878,-8.157267332447098,-7.6120554030280125,-9.814191786631417
39,0.25,150.0,12500.0,2.6167519972659648e-05,0.0002012297599867452,0.00034303715998248665,5.628531998809194e-05,-10.550991611955615,-8.511063218217688,-7.977671778525126,-9.785076803033897
40,0.25,1500.0,1.25,2.1067580019007436e-05,5.6492209987482054e-05,8.615384998847731e-05,5.1660369972523765e-05,-10.767775191086756,-9.781407805645445,-9.35937590662756,-9.870819608639612
41,0.25,1500.0,12.5,2.0841660007135942e-05,5.4170559997146485e-05,8.71185600044555e-05,5.067854002845706e-05,-10.778556689398416,-9.823372970575214,-9.34824060835065,-9.890008010573146
42,0.25,1500.0,125.0,2.2596240014536307e-05,5.5362579987559e-05,8.722234997549094e-05,5.298023999785073e-05,-10.697727036565446,-9.801606643919271,-9.347049952832,-9.845591544159854
43,0.25,1500.0,1250.0,2.582918998086825e-05,8.279707999463426e-05,0.00012499876000219957,5.898265997529961e-05,-10.564005310973945,-9.399117762960199,-8.98720674069358,-9.738267055978984
44,0.25,1500.0,12500.0,2.5610880002204794e-05,0.0003026356299960753,0.0005275432600319618,5.496906000189483e-05,-10.572493296679589,-8.102981017354923,-7.547279686437387,-9.808740076439937
45,0.25,15000.0,1.25,2.6353659995947966e-05,5.504450000444194e-05,9.244089997082484e-05,5.342486998415552e-05,-10.543903393345552,-9.80736860887962,-9.288941036876096,-9.837234190376334
46,0.25,15000.0,12.5,2.0712719997391105e-05,5.511903997103218e-05,9.104118002142059e-05,5.146150000655325e-05,-10.784762553788648,-9.80601534848181,-9.30419862609929,-9.874676602554674
47,0.25,15000.0,125.0,2.912744999775896e-05,5.559673998504877e-05,8.647785998618928e-05,7.184040001448011e-05,-10.443829529521578,-9.797385991789172,-9.355622130705122,-9.541063565855541
48,0.25,15000.0,1250.0,2.5822669995250182e-05,5.695496998669114e-05,9.233059998223325e-05,5.4905039978621064e-05,-10.56425776986529,-9.773249602577842,-9.290134943963732,-9.809905410773144
49,0.25,15000.0,12500.0,2.5301700006821192e-05,7.703228999162093e-05,0.00013101641001412646,5.477959999552695e-05,-10.58463897054271,-9.471285873472922,-8.940187975325005,-9.81219269617267
50,0.5,1.5,1.25,0.0012122332899889444,9.898682998027653e-05,0.00019798551002168097,0.00012913769998704083,-6.715290926368357,-9.220523747181284,-8.527316711656333,-8.95463128115345
51,0.5,1.5,12.5,0.0018193841600077575,0.00016747476998716594,0.0002618487799918512,0.0001058084900068934,-6.309257208776816,-8.694677844986822,-8.247743396436757,-9.15387979594775
